idx	status	source_file	line_no	variant	core_sha256_bits	red_K5	blue_K5	red_K4_count	blue_K4_count	phi0_exists	phi0_timeout	phi0_nodes	phi0_elapsed_s	phi1_exists	phi1_timeout	phi1_nodes	phi1_elapsed_s	phi2_exists	phi2_timeout	phi2_nodes	phi2_elapsed_s	phi2_red_phi	phi2_blue_phi	phi2_degree	status_detail
268	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	134	complement	c6d4a2b091a2e00ac519318c99264c4b74675905a9791ea7cf1dd375ace1fc39	0	0	1107	1199	False	False	67	0.315	False	False	347	1.488	False	False	1125	4.654				phi 0,1,2 excluded
269	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	135	source	0bec867cc92fe518c54300b5dfaa1c40b08fc5b77cd2f259c5e8d09e21495453	0	0	1186	1117	False	False	89	0.411	False	False	461	1.907	False	False	1353	5.398				phi 0,1,2 excluded
270	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	135	complement	90af216e277d694506b69dc02daec5ca9dd36977bc4a767d0248143d68032031	0	0	1117	1186	False	False	89	0.408	False	False	461	1.92	False	False	1353	5.42				phi 0,1,2 excluded
271	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	136	source	d48c47c0df350e7e64703f0fea5929b2df232e7feec6bbb43cdc2ee099a7f883	0	0	1190	1116	False	False	123	0.548	False	False	685	2.708	False	False	1629	6.347				phi 0,1,2 excluded
272	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	136	complement	df2f67cab99940d10c748d0f0aa31a1fcfc68274f472cbf841f59233657c5d9d	0	0	1116	1190	False	False	123	0.558	False	False	685	2.76	False	False	1629	6.447				phi 0,1,2 excluded
273	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	137	source	e37bf13e163c32f61f7c53e97822972f438cdf81b96a0610ede3c27bce00e39c	0	0	1160	1137	False	False	73	0.331	False	False	417	1.712	False	False	1241	4.919				phi 0,1,2 excluded
274	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	137	complement	7824f11353101c92520893821da2d9af8d1915e753363ad21ae7251f538bbd07	0	0	1137	1160	False	False	73	0.333	False	False	417	1.73	False	False	1241	4.961				phi 0,1,2 excluded
275	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	138	source	c5692f2b9a28a047959dd29482065e59a232b7a0e8abf30630e0868780159ebe	0	0	1177	1126	False	False	131	0.588	False	False	681	2.765	False	False	1727	6.831				phi 0,1,2 excluded
276	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	138	complement	6db4a37daacddfaefdd1afbaab55d294c93d935312f099bff4ac8de6e1626afc	0	0	1126	1177	False	False	131	0.593	False	False	681	2.754	False	False	1727	6.77				phi 0,1,2 excluded
277	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	139	source	84a1b6b1d26e857492d93d36b29cd23d94368c945417d6152428649b582119ba	0	0	1186	1114	False	False	85	0.393	False	False	465	1.979	False	False	1385	5.622				phi 0,1,2 excluded
